,text,tanggal,bahasa
0,Kimia Farma sebut masyarakat sudah bisa dapatkan vaksin booster Sinopharm https://t.co/SSHMtu1eEh,2022-02-12 09:32:46+00:00,in
1,"Hari2 kes keluar hari2 la org request lockdown 😪. Ko fikir diri kau je ea, lagi 30juta rakyat lain tak fikir? Mcm da takde solution lain. Ko pegi vaksin + booster je la. 

Klu takut sgt lockdown sorang2. Jgn kaitkan orang lain. Sekali lagi lockdown abis ekonomi yg baru nak naik",2022-02-12 09:32:20+00:00,in
2,@Bandung_Dinkes info vaksin booster buat lansia di. Bandung kulon,2022-02-12 09:32:10+00:00,in
3,"RT @incitu: Banyak nakes di RS yg positif, baik perawat maupun dokter.
Ada RS2 yg kehabisan reagen test PCR, entah krn demand tes PCR tingg…",2022-02-12 09:32:00+00:00,in
4,"@yourpetsfess Vaksin dr awal, tp biasanya langsung F4, lalu bulan berikutnya booster F4, lalu rabies. Berdasarkan pengalamanku bawa kucing berumur sih gitu",2022-02-12 09:30:21+00:00,in
5,Kemarin vaksin booster. Impactnya ngantuk dan pegel2. Sampai sekarang.,2022-02-12 09:30:18+00:00,in
6,"Terus Gencarkan Vaksinasi Booster, Dinkes Kabupaten Malang Terkendala Stok Vaksin Moderna https://t.co/aX5gkX5Sjd",2022-02-12 09:30:00+00:00,in
7,"RT @mas_prasetiyo: Studi kasus: Perkembangan cepat AITL pasca vaksinasi covid booster mRNA.
Apa itu AITL? Sederhananya, kanker yg mempengar…",2022-02-12 09:28:24+00:00,in
8,Bagaimana cara mendapatkan booster dengan vaksin Sinopharm? Simak penjelasannya berikut. #kumparanNews https://t.co/90YumMKcpU,2022-02-12 09:27:02+00:00,in
9,"Entah macam mana lagi mau kasi tenang org ni sudah vaksin sudah booster masih lagi mau kencang kes sampai 20k yg 99% tu C1 C2.

Kalau takut betul duduk di rumah diam2 ni sembang bukan main kencang tapi lepak sampai kedai tutup shutter apa hal?",2022-02-12 09:24:44+00:00,in
10,"First time pake koyo di seumur hidup gw .. gegara vaksin booster 🙃 

Udah ini aja yg terakhir 😪 gak ada waktu buat sakit ..",2022-02-12 09:20:48+00:00,in
12,RT @KKCity: Siapa yg belum lagi vaksin/booster boleh ke Permai Polyclinic Jalan Pantai. Kamurang boleh vaksin di sini setiap hari dari jam…,2022-02-12 09:16:11+00:00,in
13,"@MAHA_namanya_2 Sebab orang ingat, suda vaksin, kira selamat sudah. 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️ Suruh ambil booster nda mau, sebab katanya cukup ba 2 kali cucuk",2022-02-12 09:12:20+00:00,in
14,Min @Blood4LifeID kapan boleh donor lagi stlh vaksin/booster C19 ? Kalau penyintas C19 apa masih boleh donor jg ?,2022-02-12 09:11:59+00:00,in
15,"@BBCIndonesia Akibat cuma dikasih vaksin abal-abal #sinovac Padahal orang Indonesia termasuk taat prokes.  Vaksin booster  Pfizer pun cuma dikasih 1/2 dosis, padahal di mana-mana dosisnya 1 dosis.",2022-02-12 09:07:03+00:00,in
16,"Seneng udh vaksin booster, seenggaknya udh punya sediikit tameng meskipun ga bikin kebal copidun",2022-02-12 09:04:43+00:00,in
17,"24 jam pasca vaksin booster Az
🤢🤢🤢🤢🤢🤢🤢😷😷😷😷😷😷😷",2022-02-12 09:02:14+00:00,tr
18,"#newshariini
Pelaksaan Vaksin booster untuk para staff dan dosen STIE Cirebon. Jangan lupa vaksin ya buat kawan-kawan STIE. Tetap stay health, stay care, dan selalu taati protokol kesehatan ya kawan. https://t.co/a21GeSqIvU",2022-02-12 09:02:00+00:00,in
19,Bless you all yang udah vaksin booster tapi gak ada kipi https://t.co/tGgLETYY5b,2022-02-12 09:01:54+00:00,in
20,@reebaahaanpipel Vaksin booster apa biasa?,2022-02-12 09:01:29+00:00,in
21,Habis dapet vaksin booster selain tangan kiri pegel kenapa malah lapar mulu yah? Ini yg diinject zat apa?!,2022-02-12 09:00:14+00:00,in
22,"Buset hasilnya imbang nih antara ngantuk sama demam. Pokoknya jaga kesehatan yaa Titipers semua, kalau ada kesempatan vaksin/booster langsung aja shikaaat...
😉
#StayHealthy #GetVaccinated #WeLoveYou #Titipers https://t.co/BgjMaooNVh",2022-02-12 09:00:02+00:00,in
23,"kenapa setiap kali cucuk vaksin/booster, first side effect aku is mengantuk? 😭😭😭 I'm grateful but bij wth",2022-02-12 08:55:37+00:00,in
24,"RT @kaumradikal1: Mohon pencerahan Dr @__Sridiana_3va anak saya tinggal bersama omnya di daerah Bekasi, selepas booster 2 hari kemudian dic…",2022-02-12 08:55:24+00:00,in
25,"BPOM terbitkan persetujuan Sinopharm sebagai vaksin booster darurat.
#sinopharm #Vaksin
https://t.co/u3c788JWgh",2022-02-12 08:55:15+00:00,in
27,CEK FAKTA: Benarkah Vaksin Booster Sebabkan Manusia Bertingkah Layaknya Zombie ... https://t.co/eCzMkuAuhq,2022-02-12 08:51:02+00:00,in
28,"Booster sama kaya vaksin pertama nih, pegel di tangan nafsu makan nambah",2022-02-12 08:50:53+00:00,in
29,"Ayo kita bantu para pahlawan yang terus berjuang melawan pandemi dengan disiplin protokol kesehatan 5M

#SinergiCegahPandemi
Akselerasi Vaksin Booster https://t.co/mvCumVOYop",2022-02-12 08:50:26+00:00,in
30,"apakah masih ada yang tidak percaya covid-19 ??
yuk coba daftar sebagai relawan dan turun langsung ke lapangan.

#SinergiCegahPandemi
Akselerasi Vaksin Booster https://t.co/6MMGdAUZNa",2022-02-12 08:49:32+00:00,in
31,"RT @LanangDemak: @kaumradikal1 @__Sridiana_3va @dr_koko28 di vaksin katanya pakai virus yg sudah dimatikan agar tubuh membentuk imun, yg su…",2022-02-12 08:49:13+00:00,in
32,boleh tahan jugak effect vaksin booster ni,2022-02-12 08:47:33+00:00,in
